Movie_Id,Movie_Name,Similar_To
532,A Close Shave,Toy Story
43475,Gumby: The Movie,Toy Story
15789,A Goofy Movie,Toy Story
18862,House Arrest,Toy Story
11395,The Santa Clause,Toy Story
10112,The Aristocats,Toy Story
52856,Unstrung Heroes,Toy Story
36357,Rent-a-Kid,Toy Story
11511,Kazaam,Toy Story
19042,All Dogs Go to Heaven 2,Toy Story
43475,Gumby: The Movie,Jumanji
37108,A Kid in King Arthur's Court,Jumanji
19042,All Dogs Go to Heaven 2,Jumanji
18975,The Adventures of Pinocchio,Jumanji
14821,Escape to Witch Mountain,Jumanji
47867,Gordy,Jumanji
11359,The Indian in the Cupboard,Jumanji
9607,Super Mario Bros.,Jumanji
630,The Wizard of Oz,Jumanji
9070,Mighty Morphin Power Rangers: The Movie,Jumanji
17402,Miami Rhapsody,Grumpier Old Men
11777,I.Q.,Grumpier Old Men
46029,Two Much,Grumpier Old Men
46732,The Grass Harp,Grumpier Old Men
83718,What Happened Was...,Grumpier Old Men
31911,Mr. Wonderful,Grumpier Old Men
60855,Double Happiness,Grumpier Old Men
16771,Barcelona,Grumpier Old Men
47507,Métisse,Grumpier Old Men
25697,Getting Away with Murder,Grumpier Old Men
83718,What Happened Was...,Waiting to Exhale
16771,Barcelona,Waiting to Exhale
47507,Métisse,Waiting to Exhale
28628,Stonewall,Waiting to Exhale
68274,Moonlight and Valentino,Waiting to Exhale
63020,The Perez Family,Waiting to Exhale
50463,The Favor,Waiting to Exhale
10635,Threesome,Waiting to Exhale
161070,August,Waiting to Exhale
41007,A Month by the Lake,Waiting to Exhale
10879,I Love Trouble,Father of the Bride Part II
32502,Coldblooded,Father of the Bride Part II
38129,Martin Lawrence: You So Crazy,Father of the Bride Part II
10872,The Ref,Father of the Bride Part II
9099,Sgt. Bilko,Father of the Bride Part II
24070,Mixed Nuts,Father of the Bride Part II
349394,À la mode,Father of the Bride Part II
23637,Io speriamo che me la cavo,Father of the Bride Part II
532,A Close Shave,Father of the Bride Part II
25739,L'associé,Father of the Bride Part II
28732,Fall Time,Heat
281,Strange Days,Heat
83718,What Happened Was...,Heat
6071,Kiss of Death,Heat
288173,Hostile Intentions,Heat
410921,Nothing to Lose,Heat
47260,Caught,Heat
507,Killing Zoe,Heat
11074,Striking Distance,Heat
11062,City Hall,Heat
23570,The Pallbearer,Sabrina
31643,Jimmy Hollywood,Sabrina
83718,What Happened Was...,Sabrina
31911,Mr. Wonderful,Sabrina
17447,Jeffrey,Sabrina
17402,Miami Rhapsody,Sabrina
60855,Double Happiness,Sabrina
16771,Barcelona,Sabrina
47507,Métisse,Sabrina
28628,Stonewall,Sabrina
30765,The Amazing Panda Adventure,Tom and Huck
29918,Lassie,Tom and Huck
11076,Fly Away Home,Tom and Huck
139405,Across the Sea of Time,Tom and Huck
6715,The Cure,Tom and Huck
10714,The Jungle Book,Tom and Huck
11479,Un indien dans la ville,Tom and Huck
28732,Fall Time,Tom and Huck
21352,Andre,Tom and Huck
55731,Race the Sun,Tom and Huck
11667,Street Fighter,Sudden Death
28732,Fall Time,Sudden Death
8831,Timecop,Sudden Death
2019,Hard Target,Sudden Death
4954,Drop Zone,Sudden Death
17585,Surviving the Game,Sudden Death
8987,The River Wild,Sudden Death
9103,The Quest,Sudden Death
226229,Mirage,Sudden Death
10723,Bulletproof,Sudden Death
9091,Sudden Death,GoldenEye
28732,Fall Time,GoldenEye
4954,Drop Zone,GoldenEye
17585,Surviving the Game,GoldenEye
14522,Black Beauty,GoldenEye
8987,The River Wild,GoldenEye
45549,Shopping,GoldenEye
10329,Congo,GoldenEye
226229,Mirage,GoldenEye
10723,Bulletproof,GoldenEye
83718,What Happened Was...,The American President
16771,Barcelona,The American President
47507,Métisse,The American President
28628,Stonewall,The American President
68274,Moonlight and Valentino,The American President
63020,The Perez Family,The American President
50463,The Favor,The American President
10635,Threesome,The American President
161070,August,The American President
41007,A Month by the Lake,The American President
8005,Robin Hood: Men in Tights,Dracula: Dead and Loving It
36357,Rent-a-Kid,Dracula: Dead and Loving It
38129,Martin Lawrence: You So Crazy,Dracula: Dead and Loving It
12158,Vampire in Brooklyn,Dracula: Dead and Loving It
187851,They Bite,Dracula: Dead and Loving It
9089,Home for the Holidays,Dracula: Dead and Loving It
55613,Careful,Dracula: Dead and Loving It
9431,Bordello of Blood,Dracula: Dead and Loving It
888,The Flintstones,Dracula: Dead and Loving It
10779,The Frighteners,Dracula: Dead and Loving It
10530,Pocahontas,Balto
15789,A Goofy Movie,Balto
812,Aladdin,Balto
19004,The Land Before Time III: The Time of the Great Giving,Balto
10539,James and the Giant Peach,Balto
43475,Gumby: The Movie,Balto
19042,All Dogs Go to Heaven 2,Balto
10545,The Hunchback of Notre Dame,Balto
532,A Close Shave,Balto
9607,Super Mario Bros.,Balto
14291,Searching for Bobby Fischer,Nixon
27768,Some Folks Call It a Sling Blade,Nixon
31611,White Man's Burden,Nixon
61548,The Journey of August King,Nixon
58372,Reckless,Nixon
10954,Farinelli,Nixon
124619,Lotto Land,Nixon
31642,Heaven & Earth,Nixon
57834,Blue Sky,Nixon
59569,Killer: A Journal of Murder,Nixon
9350,Cliffhanger,Cutthroat Island
10874,Muppet Treasure Island,Cutthroat Island
11228,Daylight,Cutthroat Island
9091,Sudden Death,Cutthroat Island
30765,The Amazing Panda Adventure,Cutthroat Island
28732,Fall Time,Cutthroat Island
45325,Tom and Huck,Cutthroat Island
4954,Drop Zone,Cutthroat Island
40480,Bad Company,Cutthroat Island
29918,Lassie,Cutthroat Island
1607,A Bronx Tale,Casino
124619,Lotto Land,Casino
103,Taxi Driver,Casino
37557,摇啊摇，摇到外婆桥,Casino
59569,Killer: A Journal of Murder,Casino
410921,Nothing to Lose,Casino
629,The Usual Suspects,Casino
259209,Feast of July,Casino
19092,Above the Rim,Casino
32325,Mi Vida Loca,Casino
44705,Twelfth Night,Sense and Sensibility
11971,Much Ado About Nothing,Sense and Sensibility
259209,Feast of July,Sense and Sensibility
35196,Restoration,Sense and Sensibility
22279,An Awfully Big Adventure,Sense and Sensibility
8391,When Night Is Falling,Sense and Sensibility
83718,What Happened Was...,Sense and Sensibility
124460,Country Life,Sense and Sensibility
47018,Carrington,Sense and Sensibility
10497,Bitter Moon,Sense and Sensibility
8068,Desperado,Four Rooms
680,Pulp Fiction,Four Rooms
62488,Destiny Turns on the Radio,Four Rooms
32325,Mi Vida Loca,Four Rooms
44535,Somebody to Love,Four Rooms
755,From Dusk Till Dawn,Four Rooms
34996,The Addiction,Four Rooms
17402,Miami Rhapsody,Four Rooms
61752,Girl 6,Four Rooms
41579,Getting Even with Dad,Four Rooms
26258,Bushwhacked,Ace Ventura: When Nature Calls
9625,The Glimmer Man,Ace Ventura: When Nature Calls
62488,Destiny Turns on the Radio,Ace Ventura: When Nature Calls
854,The Mask,Ace Ventura: When Nature Calls
41579,Getting Even with Dad,Ace Ventura: When Nature Calls
28121,A Thin Line Between Love and Hate,Ace Ventura: When Nature Calls
11479,Un indien dans la ville,Ace Ventura: When Nature Calls
28732,Fall Time,Ace Ventura: When Nature Calls
278939,Girl in the Cadillac,Ace Ventura: When Nature Calls
22733,Beat the Devil,Ace Ventura: When Nature Calls
18713,The Jerky Boys,Money Train
33542,紅番區,Money Train
19176,The Cowboy Way,Money Train
26258,Bushwhacked,Money Train
10723,Bulletproof,Money Train
13552,The Doom Generation,Money Train
1775,Canadian Bacon,Money Train
62488,Destiny Turns on the Radio,Money Train
410921,Nothing to Lose,Money Train
414,Batman Forever,Money Train
11074,Striking Distance,Get Shorty
28121,A Thin Line Between Love and Hate,Get Shorty
9208,Broken Arrow,Get Shorty
33542,紅番區,Get Shorty
83718,What Happened Was...,Get Shorty
12656,Feeling Minnesota,Get Shorty
10478,Tin Cup,Get Shorty
30157,Amateur,Get Shorty
62488,Destiny Turns on the Radio,Get Shorty
8963,Crimson Tide,Get Shorty
22479,Kansas City,Copycat
27768,Some Folks Call It a Sling Blade,Copycat
58770,The Trigger Effect,Copycat
83718,What Happened Was...,Copycat
10531,Death and the Maiden,Copycat
291731,Homage,Copycat
54850,Loaded,Copycat
124619,Lotto Land,Copycat
10731,The Client,Copycat
99040,Le confessionnal,Copycat
28732,Fall Time,Assassins
17585,Surviving the Game,Assassins
8987,The River Wild,Assassins
253632,Baton Rouge,Assassins
9091,Sudden Death,Assassins
9625,The Glimmer Man,Assassins
9350,Cliffhanger,Assassins
8068,Desperado,Assassins
2019,Hard Target,Assassins
4954,Drop Zone,Assassins
27303,Hideaway,Powder
43475,Gumby: The Movie,Powder
47867,Gordy,Powder
27768,Some Folks Call It a Sling Blade,Powder
2045,Unforgettable,Powder
46732,The Grass Harp,Powder
83718,What Happened Was...,Powder
58372,Reckless,Powder
291731,Homage,Powder
54850,Loaded,Powder
49805,The Browning Version,Leaving Las Vegas
8391,When Night Is Falling,Leaving Las Vegas
83718,What Happened Was...,Leaving Las Vegas
124460,Country Life,Leaving Las Vegas
131957,Nina Takes a Lover,Leaving Las Vegas
18620,Go Fish,Leaving Las Vegas
124304,De eso no se habla,Leaving Las Vegas
124619,Lotto Land,Leaving Las Vegas
17447,Jeffrey,Leaving Las Vegas
13701,Immortal Beloved,Leaving Las Vegas
51352,Anne Frank Remembered,Othello
124619,Lotto Land,Othello
117730,Etz Hadomim Tafus,Othello
114089,Bye-Bye,Othello
110,Trois couleurs : Rouge,Othello
15765,What's Love Got to Do with It,Othello
14291,Searching for Bobby Fischer,Othello
9095,Mary Reilly,Othello
40154,A Midwinter's Tale,Othello
159185,Pao Da Shuang Deng,Othello
38223,Harriet the Spy,Now and Then
52856,Unstrung Heroes,Now and Then
858,Sleepless in Seattle,Now and Then
11907,Keiner liebt mich,Now and Then
11479,Un indien dans la ville,Now and Then
10635,Threesome,Now and Then
63564,The Last of the High Kings,Now and Then
9058,Only You,Now and Then
10464,"Corrina, Corrina",Now and Then
35233,The Scout,Now and Then
47333,Jane Eyre,Persuasion
22625,Circle of Friends,Persuasion
8391,When Night Is Falling,Persuasion
83718,What Happened Was...,Persuasion
124460,Country Life,Persuasion
47018,Carrington,Persuasion
9095,Mary Reilly,Persuasion
712,Four Weddings and a Funeral,Persuasion
131957,Nina Takes a Lover,Persuasion
18620,Go Fish,Persuasion
43475,Gumby: The Movie,La Cité des Enfants Perdus
37108,A Kid in King Arthur's Court,La Cité des Enfants Perdus
14821,Escape to Witch Mountain,La Cité des Enfants Perdus
9070,Mighty Morphin Power Rangers: The Movie,La Cité des Enfants Perdus
11511,Kazaam,La Cité des Enfants Perdus
9306,The Island of Dr. Moreau,La Cité des Enfants Perdus
12665,Powder,La Cité des Enfants Perdus
8011,Highlander III: The Sorcerer,La Cité des Enfants Perdus
8850,The Shadow,La Cité des Enfants Perdus
11359,The Indian in the Cupboard,La Cité des Enfants Perdus
124619,Lotto Land,摇啊摇，摇到外婆桥
31439,活着,摇啊摇，摇到外婆桥
410921,Nothing to Lose,摇啊摇，摇到外婆桥
259209,Feast of July,摇啊摇，摇到外婆桥
19092,Above the Rim,摇啊摇，摇到外婆桥
32325,Mi Vida Loca,摇啊摇，摇到外婆桥
39310,New Jersey Drive,摇啊摇，摇到外婆桥
28732,Fall Time,摇啊摇，摇到外婆桥
278939,Girl in the Cadillac,摇啊摇，摇到外婆桥
17961,L'Enfer,摇啊摇，摇到外婆桥
32119,The Boys of St. Vincent,Dangerous Minds
124619,Lotto Land,Dangerous Minds
37557,摇啊摇，摇到外婆桥,Dangerous Minds
410921,Nothing to Lose,Dangerous Minds
259209,Feast of July,Dangerous Minds
19092,Above the Rim,Dangerous Minds
12520,The Last Supper,Dangerous Minds
32325,Mi Vida Loca,Dangerous Minds
39310,New Jersey Drive,Dangerous Minds
28732,Fall Time,Dangerous Minds
26203,Blink,Twelve Monkeys
2045,Unforgettable,Twelve Monkeys
