id,original_title,GenList,vote_average,For Genre,vote_count,Scores
278,The Shawshank Redemption,"['Drama', 'Crime']",8.5,Null,8358.0,8.357744071335771
238,The Godfather,"['Drama', 'Crime']",8.5,Null,6024.0,8.306331042921043
155,The Dark Knight,"['Drama', 'Action', 'Crime', 'Thriller']",8.3,Null,12269.0,8.20837486225176
550,Fight Club,['Drama'],8.3,Null,9678.0,8.184897732909821
680,Pulp Fiction,"['Thriller', 'Crime']",8.3,Null,8670.0,8.172153545165214
13,Forrest Gump,"['Comedy', 'Drama', 'Romance']",8.2,Null,8147.0,8.069419167367917
424,Schindler's List,"['Drama', 'History', 'War']",8.3,Null,4436.0,8.061003259791399
244786,Whiplash,['Drama'],8.3,Null,4376.0,8.058022011472788
129,千と千尋の神隠し,"['Fantasy', 'Adventure', 'Animation', 'Family']",8.3,Null,3968.0,8.035594246975036
1891,The Empire Strikes Back,"['Adventure', 'Action', 'Science Fiction']",8.2,Null,5998.0,8.025790714425389
27205,Inception,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",8.1,Null,14075.0,8.025762345798062
637,La vita è bella,"['Comedy', 'Drama']",8.3,Null,3643.0,8.014517016233532
77338,Intouchables,"['Drama', 'Comedy']",8.2,Null,5410.0,8.00826247008626
157336,Interstellar,"['Adventure', 'Drama', 'Science Fiction']",8.1,Null,11187.0,8.007313129264615
240,The Godfather: Part II,"['Drama', 'Crime']",8.3,Null,3418.0,7.997841608303247
122,The Lord of the Rings: The Return of the King,"['Adventure', 'Fantasy', 'Action']",8.1,Null,8226.0,7.975621925540889
101,Léon,"['Thriller', 'Crime', 'Drama']",8.2,Null,4293.0,7.962954490201841
510,One Flew Over the Cuckoo's Nest,['Drama'],8.3,Null,3001.0,7.961160371232637
497,The Green Mile,"['Fantasy', 'Drama', 'Crime']",8.2,Null,4166.0,7.956409972866108
11,Star Wars,"['Adventure', 'Action', 'Science Fiction']",8.1,Null,6778.0,7.950649733109277
807,Se7en,"['Crime', 'Mystery', 'Thriller']",8.1,Null,5915.0,7.930349011684376
769,GoodFellas,"['Drama', 'Crime']",8.2,Null,3211.0,7.892588717471633
539,Psycho,"['Drama', 'Horror', 'Thriller']",8.3,Null,2405.0,7.890026726024694
120,The Lord of the Rings: The Fellowship of the Ring,"['Adventure', 'Fantasy', 'Action']",8.0,Null,8892.0,7.889157824917875
73,American History X,['Drama'],8.2,Null,3120.0,7.88471746628703
274,The Silence of the Lambs,"['Crime', 'Drama', 'Thriller']",8.1,Null,4549.0,7.883842238648224
121,The Lord of the Rings: The Two Towers,"['Adventure', 'Fantasy', 'Action']",8.0,Null,7641.0,7.871985866895864
77,Memento,"['Mystery', 'Thriller']",8.1,Null,4168.0,7.865946517858346
694,The Shining,"['Horror', 'Thriller']",8.1,Null,3890.0,7.850898676037027
500,Reservoir Dogs,"['Crime', 'Thriller']",8.1,Null,3821.0,7.846859195107897
105,Back to the Future,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",8.0,Null,6239.0,7.845090045734168
205596,The Imitation Game,"['History', 'Drama', 'Thriller', 'War']",8.0,Null,5895.0,7.836670228343198
8587,The Lion King,"['Family', 'Animation', 'Drama']",8.0,Null,5520.0,7.826383250786716
629,The Usual Suspects,"['Drama', 'Crime', 'Thriller']",8.1,Null,3334.0,7.814141686619984
118340,Guardians of the Galaxy,"['Action', 'Science Fiction', 'Adventure']",7.9,Null,10014.0,7.805214957425738
120467,The Grand Budapest Hotel,"['Comedy', 'Drama']",8.0,Null,4644.0,7.796432822998051
603,The Matrix,"['Action', 'Science Fiction']",7.9,Null,9079.0,7.795898862102818
1124,The Prestige,"['Drama', 'Mystery', 'Thriller']",8.0,Null,4510.0,7.7909154278285
264644,Room,"['Drama', 'Thriller']",8.1,Null,2838.0,7.770808641559933
207,Dead Poets Society,['Drama'],8.1,Null,2786.0,7.7654925078211505
389,12 Angry Men,['Drama'],8.2,Null,2130.0,7.762982010602224
106646,The Wolf of Wall Street,"['Crime', 'Drama', 'Comedy']",7.9,Null,6768.0,7.762494567506819
150540,Inside Out,"['Drama', 'Comedy', 'Animation', 'Family']",7.9,Null,6737.0,7.761900135989974
16869,Inglourious Basterds,"['Drama', 'Action', 'Thriller', 'War']",7.9,Null,6598.0,7.7591703463003565
12445,Harry Potter and the Deathly Hallows: Part 2,"['Family', 'Fantasy', 'Adventure']",7.9,Null,6141.0,7.749381882157278
4935,ハウルの動く城,"['Fantasy', 'Animation', 'Adventure']",8.2,Null,2049.0,7.748725684729803
103,Taxi Driver,"['Crime', 'Drama']",8.1,Null,2632.0,7.748690761638651
128,もののけ姫,"['Adventure', 'Fantasy', 'Animation']",8.2,Null,2041.0,7.747267020276405
210577,Gone Girl,"['Mystery', 'Thriller', 'Drama']",7.9,Null,6023.0,7.746629375125307
98,Gladiator,"['Action', 'Drama', 'Adventure']",7.9,Null,5566.0,7.734947645864018
185,A Clockwork Orange,"['Science Fiction', 'Drama']",8.0,Null,3432.0,7.73261403910608
857,Saving Private Ryan,"['Drama', 'History', 'War']",7.9,Null,5148.0,7.722587938943766
19404,Dilwale Dulhania Le Jayenge,"['Comedy', 'Drama', 'Romance']",9.1,Null,661.0,7.719987100624753
429,"Il buono, il brutto, il cattivo",['Western'],8.1,Null,2371.0,7.716002094539787
68718,Django Unchained,"['Drama', 'Western']",7.8,Null,10297.0,7.7117590043038025
598,Cidade de Deus,"['Drama', 'Crime']",8.2,Null,1852.0,7.709836340850439
1892,Return of the Jedi,"['Adventure', 'Action', 'Science Fiction']",7.9,Null,4763.0,7.709445040443352
313369,La La Land,"['Comedy', 'Drama', 'Music', 'Romance']",7.9,Null,4745.0,7.708782752497414
348,Alien,"['Horror', 'Action', 'Thriller', 'Science Fiction']",7.9,Null,4564.0,7.7018579182041025
111,Scarface,"['Action', 'Crime', 'Drama', 'Thriller']",8.0,Null,3017.0,7.700459540766185
1422,The Departed,"['Drama', 'Thriller', 'Crime']",7.9,Null,4455.0,7.69744035082514
152601,Her,"['Romance', 'Science Fiction', 'Drama']",7.9,Null,4215.0,7.686983410450441
14160,Up,"['Animation', 'Comedy', 'Family', 'Adventure']",7.8,Null,7048.0,7.673441041858341
78,Blade Runner,"['Science Fiction', 'Drama', 'Thriller']",7.9,Null,3833.0,7.667913258772933
76203,12 Years a Slave,"['Drama', 'History']",7.9,Null,3787.0,7.665384002649635
11324,Shutter Island,"['Drama', 'Thriller', 'Mystery']",7.8,Null,6559.0,7.664591144742471
38,Eternal Sunshine of the Spotless Mind,"['Science Fiction', 'Drama', 'Romance']",7.9,Null,3758.0,7.663760943507659
10681,WALL·E,"['Animation', 'Family']",7.8,Null,6439.0,7.662226956959713
177572,Big Hero 6,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",7.8,Null,6289.0,7.6591530381056225
372058,君の名は。,"['Romance', 'Animation', 'Drama']",8.5,Null,1030.0,7.645687073213185
14,American Beauty,['Drama'],7.9,Null,3438.0,7.6442370545413505
423,The Pianist,"['Drama', 'War']",8.1,Null,1927.0,7.643789019561247
567,Rear Window,"['Drama', 'Mystery', 'Thriller']",8.2,Null,1531.0,7.629763804164938
146233,Prisoners,"['Drama', 'Thriller', 'Crime']",7.9,Null,3183.0,7.626205660819492
62,2001: A Space Odyssey,"['Science Fiction', 'Mystery', 'Adventure']",7.9,Null,3075.0,7.617778818804247
37165,The Truman Show,"['Comedy', 'Drama']",7.8,Null,4702.0,7.615631985043634
152532,Dallas Buyers Club,"['Drama', 'History']",7.9,Null,2973.0,7.609329578862373
489,Good Will Hunting,['Drama'],7.9,Null,2880.0,7.601172563423086
28,Apocalypse Now,"['Drama', 'War']",8.0,Null,2112.0,7.593985025602555
670,올드보이,"['Drama', 'Thriller', 'Mystery', 'Action']",8.0,Null,2000.0,7.575302331628637
600,Full Metal Jacket,"['Drama', 'War']",7.9,Null,2595.0,7.573055752784452
641,Requiem for a Dream,"['Crime', 'Drama']",7.9,Null,2525.0,7.5653213501805014
673,Harry Potter and the Prisoner of Azkaban,"['Adventure', 'Fantasy', 'Family']",7.7,Null,6037.0,7.560374884126735
266856,The Theory of Everything,"['Drama', 'Romance']",7.8,Null,3403.0,7.553214979198359
194,Le fabuleux destin d'Amélie Poulain,"['Comedy', 'Romance']",7.8,Null,3403.0,7.553214979198359
324786,Hacksaw Ridge,"['Drama', 'History', 'War']",7.8,Null,3294.0,7.545999430038655
